,Movie,Distributor,Genre,MPAA,Book_Based,Production_Budget,Worldwide_Gross,Release Year,award_winning,Genre_Number
0,Pitch Perfect 3,Universal,Comedy,PG-13,0,"$45,000,000","$185,736,412",2017,0,0
1,Thor: Ragnarok,Walt Disney,Action,PG-13,0,"$180,000,000","$846,980,024",2017,1,1
2,Justice League,Warner Bros.,Action,PG-13,0,"$300,000,000","$655,953,446",2017,1,1
3,Dunkirk,Warner Bros.,Action,PG-13,0,"$150,000,000","$499,900,860",2017,1,1
4,Get Out,Universal,Horror,R,0,"$5,000,000","$255,368,134",2017,0,2
5,Beauty and the Beast,Walt Disney,Musical,PG,0,"$160,000,000","$1,259,199,706",2017,1,3
6,Despicable Me 3,Universal,Adventure,PG,0,"$75,000,000","$1,034,748,190",2017,1,4
7,Logan,20th Century Fox,Action,R,0,"$127,000,000","$615,476,965",2017,0,1
8,The Fate of the Furious,Universal,Action,PG-13,0,"$250,000,000","$1,234,908,020",2017,1,1
9,The Lego Batman Movie,Warner Bros.,Adventure,PG,0,"$80,000,000","$310,692,896",2017,0,4
10,The Boss Baby,20th Century Fox,Adventure,PG,0,"$125,000,000","$510,888,357",2017,0,4
11,Pirates of the Caribbean: Dead Men Tell No Tales,Walt Disney,Adventure,PG-13,0,"$230,000,000","$788,241,137",2017,1,4
12,Kong: Skull Island,Warner Bros.,Adventure,PG-13,0,"$185,000,000","$561,089,941",2017,1,4
13,Hidden Figures,20th Century Fox,Drama,PG,0,"$25,000,000","$231,771,716",2016,1,5
14,Cars 3,Walt Disney,Adventure,G,0,"$175,000,000","$383,549,151",2017,1,4
15,War for the Planet of the Apes,20th Century Fox,Action,PG-13,0,"$152,000,000","$489,592,267",2017,0,1
16,Transformers: The Last Knight,Paramount Pictures,Action,PG-13,0,"$217,000,000","$602,893,340",2017,1,1
17,La La Land,Lionsgate,Musical,PG-13,0,"$20,000,000","$427,834,973",2016,1,3
18,Girls Trip,Universal,Comedy,R,0,"$28,000,000","$140,886,353",2017,0,0
19,Fifty Shades Darker,Universal,Drama,R,0,"$55,000,000","$381,437,482",2017,1,5
20,Baby Driver,Sony Pictures,Thriller/Suspense,R,0,"$34,000,000","$228,104,185",2017,1,6
21,Rogue One: A Star Wars Story,Walt Disney,Adventure,PG-13,0,"$200,000,000","$1,049,175,577",2016,1,4
22,Sing,Universal,Adventure,PG,0,"$75,000,000","$634,458,571",2016,1,4
23,Sing,Universal,Adventure,PG,0,"$75,000,000","$634,458,571",2016,0,4
24,The Emoji Movie,Sony Pictures,Adventure,PG,0,"$50,000,000","$216,508,381",2017,0,4
25,Power Rangers,Lionsgate,Action,PG-13,0,"$120,000,000","$142,534,143",2017,0,1
26,The Mummy,Universal,Adventure,PG-13,0,"$195,000,000","$409,953,905",2017,1,4
27,Alien: Covenant,20th Century Fox,Horror,R,0,"$97,000,000","$238,521,247",2017,0,2
28,Captain Underpants: The First Epic Movie,20th Century Fox,Adventure,PG,0,"$38,000,000","$126,577,874",2017,0,4
29,Baywatch,Paramount Pictures,Comedy,R,0,"$60,000,000","$175,869,759",2017,0,0
30,Atomic Blonde,Focus Features,Thriller/Suspense,R,0,"$30,000,000","$98,345,423",2017,1,6
31,The Dark Tower,Sony Pictures,Western,PG-13,1,"$60,000,000","$113,443,235",2017,1,7
32,Lion,Weinstein Co.,Drama,PG-13,0,"$12,000,000","$149,573,025",2016,1,5
33,Snatched,20th Century Fox,Comedy,R,0,"$42,000,000","$57,852,177",2017,1,0
34,Smurfs: The Lost Village,Sony Pictures,Adventure,PG,0,"$60,000,000","$197,422,438",2017,1,4
35,Going in Style,Warner Bros.,Comedy,PG-13,0,"$24,000,000","$78,673,103",2017,1,0
36,All Eyez on Me,Lionsgate,Drama,R,0,"$45,000,000","$54,876,855",2017,0,5
37,Passengers,Sony Pictures,Thriller/Suspense,PG-13,0,"$110,000,000","$302,239,672",2016,1,6
